[4368:0101/164555.262:WARNING:electron\shell\common\api\electron_api_native_image.cc:201] Failed to load image from path 'images/inav_icon_128.png'
[4368:0101/164555.358:WARNING:content\browser\btm\btm_database.cc:129] Failed to initialize the DIPS SQLite database.
[4368:0101/164555.373:ERROR:net\disk_cache\cache_util_win.cc:25] Unable to move the cache: Access is denied. (0x5)
[4368:0101/164555.373:ERROR:net\disk_cache\cache_util_win.cc:25] Unable to move the cache: Access is denied. (0x5)
[4368:0101/164555.373:ERROR:net\disk_cache\cache_util_win.cc:25] Unable to move the cache: Access is denied. (0x5)
[4368:0101/164555.387:ERROR:net\disk_cache\disk_cache.cc:236] Unable to create cache
[4368:0101/164555.387:ERROR:gpu\ipc\host\gpu_disk_cache.cc:724] Gpu Cache Creation failed: -2
[4368:0101/164555.387:ERROR:net\disk_cache\disk_cache.cc:236] Unable to create cache
[4368:0101/164555.387:ERROR:gpu\ipc\host\gpu_disk_cache.cc:724] Gpu Cache Creation failed: -2
[4368:0101/164555.388:ERROR:net\disk_cache\disk_cache.cc:236] Unable to create cache
[4368:0101/164555.388:ERROR:gpu\ipc\host\gpu_disk_cache.cc:724] Gpu Cache Creation failed: -2
[4368:0101/164555.911:INFO:CONSOLE:44] "i18next: languageChanged en", source: file:///D:/Workspace/inav-configurator_Windows32_9.0.0_ci-20251231-2c68b6f_ZIP/INAV-Configurator_Win32_9.0.0/resources/app/.vite/renderer/main_window/assets/index-BOUD53F2.js (44)
[4368:0101/164555.911:INFO:CONSOLE:44] "i18next: initialized [object Object]", source: file:///D:/Workspace/inav-configurator_Windows32_9.0.0_ci-20251231-2c68b6f_ZIP/INAV-Configurator_Win32_9.0.0/resources/app/.vite/renderer/main_window/assets/index-BOUD53F2.js (44)
[4368:0101/164555.911:INFO:CONSOLE:44] "i18n system loaded", source: file:///D:/Workspace/inav-configurator_Windows32_9.0.0_ci-20251231-2c68b6f_ZIP/INAV-Configurator_Win32_9.0.0/resources/app/.vite/renderer/main_window/assets/index-BOUD53F2.js (44)
[4368:0101/164555.912:INFO:CONSOLE:44] "Detected locale en-US", source: file:///D:/Workspace/inav-configurator_Windows32_9.0.0_ci-20251231-2c68b6f_ZIP/INAV-Configurator_Win32_9.0.0/resources/app/.vite/renderer/main_window/assets/index-BOUD53F2.js (44)
[4368:0101/164556.011:INFO:CONSOLE:51] "Libraries: jQuery - 3.7.1, three.js - 180", source: file:///D:/Workspace/inav-configurator_Windows32_9.0.0_ci-20251231-2c68b6f_ZIP/INAV-Configurator_Win32_9.0.0/resources/app/.vite/renderer/main_window/assets/index-BOUD53F2.js (51)
[4368:0101/164556.014:INFO:CONSOLE:44] "Killing all intervals except: global_data_refresh,msp-load-update,ltm-connection-check", source: file:///D:/Workspace/inav-configurator_Windows32_9.0.0_ci-20251231-2c68b6f_ZIP/INAV-Configurator_Win32_9.0.0/resources/app/.vite/renderer/main_window/assets/index-BOUD53F2.js (44)
